,Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng,Review
1496,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,1/24/2017,8.5,JUFA Hotel Wien,Switzerland,0,3748,16,21,7.9,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",191 day,48.1756283,16.4200957,Close to airport with cheap parking Perfect for a night before an early flight
1498,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,1/23/2017,8.5,JUFA Hotel Wien,Slovenia,0,3748,12,20,9.6,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 1 night ']",192 day,48.1756283,16.4200957,Very nice new and moden hotel clse to U bahn
1502,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,1/17/2017,8.5,JUFA Hotel Wien,United Kingdom,0,3748,22,2,9.2,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",198 day,48.1756283,16.4200957,Staff were very helpful excellent value for money easy and quick links to the city centre good shopping district nearby
1507,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,12/30/2016,8.5,JUFA Hotel Wien,Romania,0,3748,14,4,7.9,"[' Leisure trip ', ' Family with young children ', ' Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",216 day,48.1756283,16.4200957,They have a nice playground for small kids clean room and comfortable bed
1508,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,12/28/2016,8.5,JUFA Hotel Wien,Romania,0,3748,11,8,10,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",218 day,48.1756283,16.4200957,Great value for the money access to public trabsport
1511,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,12/22/2016,8.5,JUFA Hotel Wien,Cyprus,0,3748,16,3,10,"[' Leisure trip ', ' Family with young children ', ' Triple Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",224 day,48.1756283,16.4200957,The staff was friendly especially the lady Anastasia at the restaurant in the morning
1514,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,12/15/2016,8.5,JUFA Hotel Wien,Kosovo,0,3748,3,10,7.1,"[' Leisure trip ', ' Solo traveler ', ' Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",231 day,48.1756283,16.4200957,Diesing
1520,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,42533,8.5,JUFA Hotel Wien,Bosnia and Herzegovina,0,3748,19,3,9.2,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 2 nights ']",240 day,48.1756283,16.4200957,Very close to the U Bahn station friendly and helpful staff free parking places around the hotel
1522,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,11/30/2016,8.5,JUFA Hotel Wien,Romania,0,3748,16,8,9.2,"[' Leisure trip ', ' Family with young children ', ' Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",246 day,48.1756283,16.4200957,verry good hotel verry good staff breakfast was excellent i stop here anytime its possible
1525,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,11/24/2016,8.5,JUFA Hotel Wien,Czech Republic,0,3748,5,12,10,"[' Business trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",252 day,48.1756283,16.4200957,Special Hawai event
1526,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,11/23/2016,8.5,JUFA Hotel Wien,Singapore,0,3748,19,1,9.2,"[' Leisure trip ', ' Family with young children ', ' Triple Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",253 day,48.1756283,16.4200957,The staff was very helpful She allowed me to print my air tickets which were very urgent
1532,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,10/28/2016,8.5,JUFA Hotel Wien,Oman,0,3748,22,5,9.6,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 2 nights ']",279 day,48.1756283,16.4200957,the staff were too kind and helpful the location was great too many shops and super markets close by the hotel
1533,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,10/26/2016,8.5,JUFA Hotel Wien,Austria,0,3748,16,8,10,"[' Leisure trip ', ' Group ', ' Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",281 day,48.1756283,16.4200957,The staff were extremely helpful and accommodating This hotel is great for family groups
1534,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,10/24/2016,8.5,JUFA Hotel Wien,Israel,0,3748,27,3,9.2,"[' Leisure trip ', ' Family with young children ', ' Suite 5 Adults ', ' Stayed 2 nights ']",283 day,48.1756283,16.4200957,The hotel was very comfortable for a family touring Vienna Breakfast was good Stuff was very helpful Overall we were very happy with our stay
1537,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,10/17/2016,8.5,JUFA Hotel Wien,United Kingdom,0,3748,4,12,8.8,"[' Leisure trip ', ' Family with young children ', ' Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",290 day,48.1756283,16.4200957,Very child friendly
1538,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,10/15/2016,8.5,JUFA Hotel Wien,Israel,0,3748,17,11,10,"[' Leisure trip ', ' Family with young children ', ' Suite 5 Adults ', ' Stayed 1 night ']",292 day,48.1756283,16.4200957,little far from the center but it take 15 min in the metro big room
1542,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,9/26/2016,8.5,JUFA Hotel Wien,Israel,0,3748,2,3,4.2,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",311 day,48.1756283,16.4200957,Nothing
1543,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,9/26/2016,8.5,JUFA Hotel Wien,Romania,0,3748,7,11,8.3,"[' Leisure trip ', ' Family with young children ', ' Family Room 2 Adults 2 Children ', ' Stayed 1 night ', ' Submitted from a mobile device ']",311 day,48.1756283,16.4200957,Confortable rooms and enough available parking
1552,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,42530,8.5,JUFA Hotel Wien,Qatar,0,3748,13,1,8.3,"[' Leisure trip ', ' Family with young children ', ' Family Room 2 Adults 1 Child ', ' Stayed 1 night ', ' Submitted from a mobile device ']",331 day,48.1756283,16.4200957,Clean well planned room reception area light and spacious very welcoming
1555,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,8/29/2016,8.5,JUFA Hotel Wien,Switzerland,0,3748,31,11,9.2,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 4 nights ']",339 day,48.1756283,16.4200957,even if a bit far from center the center is easy to reach it by car or tram Has a very good breakfast Globally we felt very good inside
1557,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,8/28/2016,8.5,JUFA Hotel Wien,Iran,0,3748,11,23,9.6,"[' Leisure trip ', ' Family with young children ', ' Triple Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",340 day,48.1756283,16.4200957,It was very clean close to metro very comfort
1563,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,8/16/2016,8.5,JUFA Hotel Wien,Romania,0,3748,8,2,8.8,"[' Leisure trip ', ' Group ', ' 2 rooms ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",352 day,48.1756283,16.4200957,Big room great breakfast quiet location
1564,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,8/14/2016,8.5,JUFA Hotel Wien,Germany,0,3748,11,12,8.3,"[' Leisure trip ', ' Family with older children ', ' 2 rooms ', ' Stayed 1 night ', ' Submitted from a mobile device ']",354 day,48.1756283,16.4200957,activities for kids near Metro nice rooms practical and convenient
1565,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,8/14/2016,8.5,JUFA Hotel Wien,Latvia,0,3748,11,30,9.2,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 1 night ']",354 day,48.1756283,16.4200957,Notfar from the metro and good location acording safety
1572,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,42468,8.5,JUFA Hotel Wien,Hungary,0,3748,6,18,8.3,"[' Leisure trip ', ' Group ', ' Double or Twin Room ', ' Stayed 1 night ']",364 day,48.1756283,16.4200957,breakfast was really good
1581,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,7/21/2016,8.5,JUFA Hotel Wien,Greece,0,3748,15,10,8.8,"[' Leisure trip ', ' Family with young children ', ' Family Room 2 Adults 2 Children ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",378 day,48.1756283,16.4200957,Spacious rooms very good breakfast wi fi parking 5 minutes to metro station
1583,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,7/19/2016,8.5,JUFA Hotel Wien,Bulgaria,0,3748,17,26,8.8,"[' Leisure trip ', ' Group ', ' 2 rooms ', ' Stayed 1 night ', ' Submitted from a mobile device ']",380 day,48.1756283,16.4200957,Good location close to an S Bahn station very clean and modern hotel polite staff
1590,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,42711,8.5,JUFA Hotel Wien,Japan,0,3748,4,16,10,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",387 day,48.1756283,16.4200957,Facilities for children
1595,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,6/20/2016,8.5,JUFA Hotel Wien,Hungary,0,3748,2,8,8.8,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 2 nights ']",409 day,48.1756283,16.4200957,Breakfast
1597,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,42649,8.5,JUFA Hotel Wien,Netherlands,0,3748,22,1,10,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 1 night ']",419 day,48.1756283,16.4200957,Staff was extra friendly all was very clean and location was excellent for my needs I would definitely come back
1598,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,42496,8.5,JUFA Hotel Wien,United Kingdom,0,3748,3,2,8.8,"[' Leisure trip ', ' Family with young children ', ' Suite 5 Adults ', ' Stayed 1 night ', ' Submitted from a mobile device ']",424 day,48.1756283,16.4200957,Spacious rooms
1599,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,5/30/2016,8.5,JUFA Hotel Wien,Belgium,0,3748,10,16,8.8,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 3 nights ']",430 day,48.1756283,16.4200957,close to the metro big clean room friendly staff
1602,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,42709,8.5,JUFA Hotel Wien,Switzerland,0,3748,10,9,9.2,"[' Business trip ', ' Group ', ' Double or Twin Room ', ' Stayed 3 nights ']",448 day,48.1756283,16.4200957,Very well organized and easy to access by car
1603,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,42648,8.5,JUFA Hotel Wien,Serbia,0,3748,22,1,10,"[' Leisure trip ', ' Family with young children ', ' Family Room 2 Adults 2 Children ', ' Stayed 2 nights ']",450 day,48.1756283,16.4200957,Excellent location close to public transport and city centre Very clean and children friendly Polite and helpful staff Well done
1605,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,42465,8.5,JUFA Hotel Wien,Bosnia and Herzegovina,0,3748,9,12,9.2,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",456 day,48.1756283,16.4200957,Nice and clean rooms with nice view
1610,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,3/31/2016,8.5,JUFA Hotel Wien,Czech Republic,0,3748,21,6,9.2,"[' Leisure trip ', ' Couple ', ' Special Offer Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",490 day,48.1756283,16.4200957,Enough space in the room cleaness good location near is metro station you can get directly into the city centre
1611,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,3/27/2016,8.5,JUFA Hotel Wien,Czech Republic,0,3748,6,20,8.3,"[' Leisure trip ', ' Family with young children ', ' Family Room 2 Adults 2 Children ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",494 day,48.1756283,16.4200957,Wonderful breakfest and plenty room
1613,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,3/22/2016,8.5,JUFA Hotel Wien,Bulgaria,0,3748,11,2,9.6,"[' Leisure trip ', ' Family with young children ', ' Family Room 2 Adults 1 Child ', ' Stayed 3 nights ']",499 day,48.1756283,16.4200957,Nice clean and free parking nearby Good value for money
1614,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,3/21/2016,8.5,JUFA Hotel Wien,Czech Republic,0,3748,7,15,9.2,"[' Leisure trip ', ' Solo traveler ']",500 day,48.1756283,16.4200957,Hotel crew can speak english
1615,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,3/20/2016,8.5,JUFA Hotel Wien,United Kingdom,0,3748,12,8,10,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",501 day,48.1756283,16.4200957,Perfect hotel to stay in while sightseeing and doing local activities
1616,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,42677,8.5,JUFA Hotel Wien,Romania,0,3748,2,18,10,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 1 night ']",510 day,48.1756283,16.4200957,everything
1617,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,42585,8.5,JUFA Hotel Wien,Russia,0,3748,17,10,10,"[' Leisure trip ', ' Family with young children ', ' Family Room 2 Adults 2 Children ', ' Stayed 1 night ', ' Submitted from a mobile device ']",513 day,48.1756283,16.4200957,Breakfast is very very good recommend it Lots of playgrounds for kids inside and outside
1622,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,2/28/2016,8.5,JUFA Hotel Wien,Slovenia,0,3748,33,1,10,"[' Group ', ' Double or Twin Room ', ' Stayed 1 night ']",522 day,48.1756283,16.4200957,The location is really great and hotel is easy to find if you plan a trip by your own car Rooms are very clean and the breakfast is just the best
1625,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,2/26/2016,8.5,JUFA Hotel Wien,Serbia,0,3748,5,24,9.6,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",524 day,48.1756283,16.4200957,Excellent value for money
1636,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,42461,8.5,JUFA Hotel Wien,Slovenia,0,3748,10,2,9.6,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",577 day,48.1756283,16.4200957,Great comfortable clean room Really nice and friendly personnel
1646,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,12/17/2015,8.5,JUFA Hotel Wien,United States of America,0,3748,24,14,10,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 1 night ']",595 day,48.1756283,16.4200957,Unique hotel very modern cheerful spacious Rooms are simple but nice breakfast buffet is great on site restaurant and bar very nice
1647,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,12/13/2015,8.5,JUFA Hotel Wien,Serbia,0,3748,11,10,9.2,"[' Leisure trip ', ' Family with young children ', ' Special Offer Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",599 day,48.1756283,16.4200957,My 6 year old sun had very good time
1649,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,11/15/2015,8.5,JUFA Hotel Wien,Czech Republic,0,3748,7,44,9.6,"[' Leisure trip ', ' Family with older children ', ' Triple Room ', ' Stayed 1 night ']",627 day,48.1756283,16.4200957,300 m to underground garage
1650,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,10/29/2015,8.5,JUFA Hotel Wien,Chile,0,3748,7,22,7.5,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 2 nights ']",644 day,48.1756283,16.4200957,Is near to metro and bus
1653,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,10/21/2015,8.5,JUFA Hotel Wien,Ireland,0,3748,28,1,10,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",652 day,48.1756283,16.4200957,I was in the hotel for the GAA tournament and it was a fabulous very clean and welcoming The food we were provided with was delicious
1654,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,10/20/2015,8.5,JUFA Hotel Wien,Austria,0,3748,20,1,9.6,"[' Leisure trip ', ' Family with young children ', ' Double or Twin Room ', ' Stayed 2 nights ']",653 day,48.1756283,16.4200957,The breakfast was great A real huge variety including bread vegetables and cheeses Bonus point for the Nutella
1655,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,10/19/2015,8.5,JUFA Hotel Wien,Czech Republic,0,3748,4,105,9.6,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 1 night ']",654 day,48.1756283,16.4200957,Free Wi fi
1658,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,10/13/2015,8.5,JUFA Hotel Wien,Cyprus,0,3748,3,1,9.2,"[' Leisure trip ', ' Group ', ' Suite 5 Adults ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",660 day,48.1756283,16.4200957,Very clean
1664,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,9/27/2015,8.5,JUFA Hotel Wien,Netherlands,0,3748,6,4,3.8,"[' Business trip ', ' Solo traveler ', ' Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",676 day,48.1756283,16.4200957,The bed is too narrow
1665,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,9/24/2015,8.5,JUFA Hotel Wien,Jordan,0,3748,17,1,10,"[' Leisure trip ', ' Group ', ' Double or Twin Room ', ' Stayed 7 nights ', ' Submitted from a mobile device ']",679 day,48.1756283,16.4200957,We loved it calm area and near underground station near nice mall friendly staff specially Katerina
1667,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,9/20/2015,8.5,JUFA Hotel Wien,Austria,0,3748,6,9,7.9,"[' Leisure trip ', ' Family with older children ', ' Suite 5 Adults ', ' Stayed 3 nights ']",683 day,48.1756283,16.4200957,cosy facilities near metro quiet
1669,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,9/16/2015,8.5,JUFA Hotel Wien,Israel,0,3748,30,3,9.6,"[' Leisure trip ', ' Family with young children ', ' Family Room 2 Adults 2 Children ', ' Stayed 1 night ', ' Submitted from a mobile device ']",687 day,48.1756283,16.4200957,Great hotel for traveling with kids A bit far from the city but we just stayed there over night before the morning flight so we didn t care
1670,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,9/15/2015,8.5,JUFA Hotel Wien,Poland,0,3748,29,2,10,"[' Leisure trip ', ' Family with young children ', ' Family Room 2 Adults 1 Child ', ' Stayed 1 night ']",688 day,48.1756283,16.4200957,We ve been given better bigger room at the front desk when we admitted its our second stay here and we are acoompanied by two small children
1672,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,42286,8.5,JUFA Hotel Wien,Bulgaria,0,3748,21,5,7.9,"[' Leisure trip ', ' Family with young children ', ' Suite 5 Adults ', ' Stayed 1 night ']",693 day,48.1756283,16.4200957,Good for a group of 5 or more Clean and nice rooms Good for one night stay at Vienna
1676,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,8/26/2015,8.5,JUFA Hotel Wien,Israel,0,3748,16,16,8.3,"[' Leisure trip ', ' Family with older children ', ' Triple Room ', ' Stayed 1 night ']",708 day,48.1756283,16.4200957,Simple convenient accommodations in Vienna Easy parking Close to public transportation into the city
1677,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,8/25/2015,8.5,JUFA Hotel Wien,Russia,0,3748,16,5,9.6,"[' Leisure trip ', ' Family with young children ', ' Triple Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",709 day,48.1756283,16.4200957,It is a very comfortable hotel with style interior Good for couples with children
1679,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,8/24/2015,8.5,JUFA Hotel Wien,United Kingdom,0,3748,18,7,10,"[' Leisure trip ', ' Family with young children ', ' Quadruple Room ', ' Stayed 1 night ']",710 day,48.1756283,16.4200957,great location wit easy access to city centre via subway great place to stay excellent facilities
1680,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,8/24/2015,8.5,JUFA Hotel Wien,Israel,0,3748,25,16,9.6,"[' Leisure trip ', ' Family with young children ', ' Triple Room ', ' Stayed 3 nights ']",710 day,48.1756283,16.4200957,The staff is valuable for money Near to the Hotel opened Mercure supermarket great option to complete needs missed in all last feadbacks
1681,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,8/23/2015,8.5,JUFA Hotel Wien,United Kingdom,0,3748,12,2,10,"[' Leisure trip ', ' Family with young children ', ' Suite 5 Adults ', ' Stayed 2 nights ']",711 day,48.1756283,16.4200957,Close to public transport Great facilities especially for a family
1682,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,8/23/2015,8.5,JUFA Hotel Wien,Canada,0,3748,20,7,10,"[' Leisure trip ', ' Family with older children ', ' Double or Twin Room ', ' Stayed 1 night ']",711 day,48.1756283,16.4200957,Close to underground transportation very quiet area close to a large grocery store and playground ideal for families
1684,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,8/18/2015,8.5,JUFA Hotel Wien,Belgium,0,3748,2,11,10,"[' Leisure trip ', ' Family with young children ', ' Family Room 2 Adults 2 Children ', ' Stayed 1 night ', ' Submitted from a mobile device ']",716 day,48.1756283,16.4200957,Excellent
1685,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,8/17/2015,8.5,JUFA Hotel Wien,Romania,0,3748,25,15,7.9,"[' Leisure trip ', ' Family with older children ', ' Triple Room ', ' Stayed 1 night ']",717 day,48.1756283,16.4200957,Great hotel if you plan to spend few nights in Vienna very clean and not so expensive especially when you travel with kids
1686,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,42316,8.5,JUFA Hotel Wien,Greece,0,3748,16,30,9.6,"[' Family with older children ', ' Quadruple Room ', ' Stayed 2 nights ']",723 day,48.1756283,16.4200957,Excellent bydget family stay in otherwise expensive Vienna Easy connection to the center safe parking
1689,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,42163,8.5,JUFA Hotel Wien,Italy,0,3748,8,48,7.5,"[' Leisure trip ', ' Family with young children ', ' Family Room 2 Adults 2 Children ', ' Stayed 1 night ', ' Submitted from a mobile device ']",728 day,48.1756283,16.4200957,Very food place to stay with children
1690,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,42163,8.5,JUFA Hotel Wien,Slovenia,0,3748,9,2,9.6,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",728 day,48.1756283,16.4200957,Great room awesome furniture and cool staff
1691,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,42132,8.5,JUFA Hotel Wien,Hungary,0,3748,7,7,10,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 1 night ']",729 day,48.1756283,16.4200957,perfect for kids close to underground
1701,Rennweg 99 Rinnboeckstrasse 1 03 Landstra e 1030 Vienna Austria,207,42923,8.7,Austria Trend Hotel Doppio Wien,United States of America,0,3010,47,4,10,"[' Leisure trip ', ' Group ', ' Classic Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",27 days,48.1854312,16.404884,Perfect for one night if you need to get to and from Vienna International Airport easily want to spend an evening in the city Well worth paying extra for the delicious breakfast Extremely friendly staff lovely rooms easy to use app Free WiFi free parking
1703,Rennweg 99 Rinnboeckstrasse 1 03 Landstra e 1030 Vienna Austria,207,42984,8.7,Austria Trend Hotel Doppio Wien,Canada,0,3010,44,4,9.6,"[' With a pet ', ' Leisure trip ', ' Couple ', ' Classic Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",55 days,48.1854312,16.404884,We had hard time to find the hotel but room was very big nice and clean We arrive late and there was not open restaurant in the hotel and not around the hotel Ider For the price the breakfast shoul be included
1712,Rennweg 99 Rinnboeckstrasse 1 03 Landstra e 1030 Vienna Austria,207,4/16/2017,8.7,Austria Trend Hotel Doppio Wien,Germany,0,3010,51,7,10,"[' Business trip ', ' Couple ', ' Classic Twin Room ', ' Stayed 2 nights ']",109 day,48.1854312,16.404884,The room was quiet comfortable and within easy walking distance of our conference transportation and places for a quick lunch Check in and check out were very easy Internet access was good and availability of a printer in the lobby was fantastic This was a good experience for us
1713,Rennweg 99 Rinnboeckstrasse 1 03 Landstra e 1030 Vienna Austria,207,4/15/2017,8.7,Austria Trend Hotel Doppio Wien,Egypt,0,3010,31,14,7.5,"[' Leisure trip ', ' Family with young children ', ' Classic Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",110 day,48.1854312,16.404884,Nice modern hotel with free car parking friendly staff You can reach the city center by walking for 5 min then using the Under ground for 2 stops only
1733,Rennweg 99 Rinnboeckstrasse 1 03 Landstra e 1030 Vienna Austria,207,12/13/2016,8.7,Austria Trend Hotel Doppio Wien,Slovenia,0,3010,39,54,10,"[' Leisure trip ', ' Couple ', ' Classic Twin Room ', ' Stayed 1 night ']",233 day,48.1854312,16.404884,Very good access from the highway Only 10 minutes walk to the metro you can ride to the Gasometer and city center Excellent and clean room and bathroom Friendly staff Free wi fi and free private parking
1741,Rennweg 99 Rinnboeckstrasse 1 03 Landstra e 1030 Vienna Austria,207,42623,8.7,Austria Trend Hotel Doppio Wien,Romania,0,3010,34,60,9.2,"[' Business trip ', ' Solo traveler ', ' Classic Twin Room ', ' Stayed 2 nights ']",298 day,48.1854312,16.404884,Doppio is a good elegant hotel in Wien but a bit far from city center The hotel has clean and large rooms fair breakfast in the morning Nice personnel at front desk
1747,Rennweg 99 Rinnboeckstrasse 1 03 Landstra e 1030 Vienna Austria,207,42591,8.7,Austria Trend Hotel Doppio Wien,Lithuania,0,3010,37,11,9.2,"[' Leisure trip ', ' Couple ', ' Classic Twin Room ', ' Stayed 1 night ']",329 day,48.1854312,16.404884,Great business type hotel spacious rooms spacious bathroom A bit further away from the city center but tram station is near by You can park a car for free just in front of the hotel
1748,Rennweg 99 Rinnboeckstrasse 1 03 Landstra e 1030 Vienna Austria,207,42530,8.7,Austria Trend Hotel Doppio Wien,Croatia,0,3010,72,2,9.6,"[' Leisure trip ', ' Family with young children ', ' Classic Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",331 day,48.1854312,16.404884,Hotel was just as described on Booking com Actually there is a little mistake in description as it said that there is only wired free internet in rooms and they have free wifi there too So this was a pleasent suprise Tram station is in front of hotel 15 min drive to city center and underground U2 is near by 10 min walk Free parking is also a big plus
